id_producto;nombre;precio;categoria_actual;subcategoria_actual;categoria_nueva;subcategoria_nueva
ME-0290;Palitos de merluza a la romana Hacendado ultracongelados;2.75;Pescadería;Pescado;;
ME-0856;Palitos de pan 100% trigo espelta integral Anitin;1.32;Panadería y Pastelería;Pan fresco;;
ME-0854;Palitos de pan con pipas Anitin;1.32;Panadería y Pastelería;Pan fresco;;
ME-0857;Palitos de pan con queso Anitin;1.32;Lácteos y Huevos;Quesos;;
ME-0215;Palitos de surimi Hacendado;2.0;Bazar y Varios;Otros bazar;;
ME-0216;Palitos de surimi Hacendado ultracongelados;2.5;Congelados;Verduras congeladas;;
ME-0041;Palitos de zanahoria;2.1;Frutas y Verduras;Verduras;;
ME-1170;Palmeritas Hacendado;1.55;Bazar y Varios;Otros bazar;;
ME-3334;Palmito al natural entero Hacendado;2.65;Bazar y Varios;Otros bazar;;
ME-4506;Palo antideslizante Bosque Verde 140 cm;1.75;Desayuno y Snack;Té e infusiones;;
ME-4505;Palo extensible antideslizante Bosque Verde 88 - 150 cm;2.8;Desayuno y Snack;Té e infusiones;;
ME-1105;Palomitas caramelo Hacendado;1.5;Bazar y Varios;Otros bazar;;
ME-1376;Palomitas de maíz con sal Hacendado para microondas;1.1;Despensa;Sales;;
ME-1407;Palomitas de maíz dulces Hacendado para microondas;1.6;Bazar y Varios;Otros bazar;;
ME-1395;Palomitas de maíz sabor mantequilla Hacendado para microondas;1.2;Lácteos y Huevos;Mantequillas y Natas;;
ME-0702;Pan 5 semillas;1.5;Panadería y Pastelería;Pan fresco;;
ME-0711;Pan Bagel Hacendado;1.42;Panadería y Pastelería;Pan fresco;;
ME-0710;Pan Brioche Hacendado;2.35;Panadería y Pastelería;Pan fresco;;
ME-0532;Pan campeón del mundo;1.99;Panadería y Pastelería;Pan fresco;;
ME-0562;Pan campeón del mundo rebanado;1.99;Panadería y Pastelería;Pan fresco;;
ME-0784;Pan de fibra y sésamo Hacendado;1.13;Panadería y Pastelería;Pan fresco;;
ME-0718;Pan de hamburguesa Brioche Hacendado;1.1;Panadería y Pastelería;Pan fresco;;
ME-0720;Pan de hamburguesa Hacendado;0.95;Panadería y Pastelería;Pan fresco;;
ME-0723;Pan de hamburguesa Hacendado Rústico 100% integral;1.18;Panadería y Pastelería;Pan fresco;;
ME-1166;Pan de leche Hacendado;1.85;Panadería y Pastelería;Pan fresco;;
ME-0695;Pan de molde 100% integral familiar Hacendado;1.18;Panadería y Pastelería;Pan fresco;;
ME-0696;Pan de molde 100% integral Hacendado;0.9;Panadería y Pastelería;Pan fresco;;
ME-0697;Pan de molde 100% integral sin corteza Hacendado;1.23;Panadería y Pastelería;Pan fresco;;
ME-0708;Pan de molde 12 cereales y semillas Hacendado;1.61;Panadería y Pastelería;Pan fresco;;
ME-0693;Pan de molde blanco familiar Hacendado;1.18;Panadería y Pastelería;Pan fresco;;
ME-0694;Pan de molde blanco Hacendado;0.8;Panadería y Pastelería;Pan fresco;;
ME-0698;Pan de molde blanco natural rústico Hacendado;1.51;Panadería y Pastelería;Pan fresco;;
ME-0699;Pan de molde blanco rebanada gruesa Hacendado;1.7;Panadería y Pastelería;Pan fresco;;
ME-0692;Pan de molde blanco sin corteza Hacendado;1.13;Panadería y Pastelería;Pan fresco;;
ME-0700;Pan de molde cereales sin gluten Hacendado;2.74;Panadería y Pastelería;Pan fresco;;
ME-0705;Pan de molde con 35% avena Hacendado 0% azúcares añadidos con harina 100% integral;1.37;Panadería y Pastelería;Pan fresco;;
ME-0707;Pan de molde con 55% centeno Hacendado;1.47;Panadería y Pastelería;Pan fresco;;
ME-0704;Pan de molde espelta 100% integral Hacendado natural;1.75;Panadería y Pastelería;Pan fresco;;
