id,nombre_comercial,id_externo,precio
4322,Batido de fresa Puleva 6 x 200 ml,120356,2.69
4323,Bebida de soja sabor chocolate Alpro 1 L,308506,2.29
4325,Horchata Dia 3 x 200 ml,280174,1.19
4326,Bebida láctea de cacao africano Pascual botella 230 ml,309194,1.49
4328,Bifrutas mediterráneo Pascual pack 6 x 200 ml,224182,2.65
4332,Bebida de soja sabor chocolate Alpro pack 8 x 1 L,308506P8,18.32
4335,Bebida de avena barista Dia Vegedia pack 6 x 1 L,302799P6,5.94
4338,Kéfir natural desnatado Dia Láctea pack 4 x 180 g,307309,1.89
4347,Petit de fresa Dia Láctea pack 6 x 50 g,265287,0.99
4353,L-Casei fresa-plátano y coco-piña Dia pack 12 x 100 g,101846,2.25
4357,L-Casei fresa Dia pack 12 x 100 g,19326,2.25
4359,Yogur griego sabor manzana y canela pack 4 x 120 g,305610,1.62
4360,"Yogur sabor coco, fresa, frutos del bosque y macedonia Danone pack 8 x 120 g",187603,1.99
4361,Yogur de stracciatella alto en proteínas Dia Láctea pack 4 x 120 g,303224,1.49
4364,Petit de fresa líquido Dia Láctea pack 4 x 80 g,265284,1.95
4365,Petit de fresa y plátano Dia Láctea pack 6 x 50 g,265288,0.99
4366,Yogur líquido sabor melocotón y fruto de la pasión Dia Láctea botella 1 Kg,280177,1.49
4367,Yogur desnatado con frutas Dia Láctea pack 8 x 125 g,5684,1.99
4368,Yogur griego con nueces Dia Fidias pack 4 x 125 g,272513,1.65
4370,Yogur natural desnatado Dia Láctea pack 6 x 125 g,128591,0.99
4377,Yogur cremoso con cereza y granola Dia Láctea vaso 230 g,295739,1.45
4379,Bífidus con fresas y nueces Dia pack 4 x 125 g,262839,1.29
4380,Yogur líquido de fresa y platano Actimel pack 6 x 100 g,100595,3.99
4381,Bífidus con avena y nueces Activia pack 4 x 115 g,221417,2.89
4384,Postre vegetal de soja con chocolate Dia Vegedia pack 4 x 100 g,119585,1.55
4385,Petit de chocolate Nesquik pack 6 x 60 g,27687,1.85
4386,Bífidus natural Dia Láctea pack 4 x 125 g,305839,0.85
4389,Yogur griego lima-limón Danone pack 4 x 110 g,301464,1.62
4394,"Bífidus con semillas, cereales y avellanas doble 0% Dia pack 4 x 125 g",253796,1.29
4395,Bífidus natural doble 0% Dia Láctea pack 4 x 125 g,305841,0.79
4396,Yogur líquido natural Actimel pack 12 x 100 g,33057,5.99
4400,Yogur de fresa líquido Danonino pack 4 x 70 g,231491,2.55
4401,Bífidus natural edulcorado doble 0% Dia Láctea pack 4 x 125 g,305840,0.79
4404,Postre de soja sabor frutos rojos sin azúcar Alpro vaso 400 g,278517,2.59
4405,Bífidus con pera Activia pack 4 x 120 g,50719,2.99
4406,Bífidus cremoso de lima-limón Activia pack 4 x 115 g,178095,2.69
4407,Bebida de yogur sabor fresa y plátano alta en proteínas Dia Láctea botella 250 ml,303676,1.25
4409,Bebida con proteínas sabor mango Yopro botella 300 g,284942,2.39
4410,Bífidus cremoso con fresa Activia pack 4 x 115 g,300787,2.69
4411,"Postre de soja sabor melocotón, piña y fruta de la pasión Alpro pack 4 x 125 g",248784,2.89
4412,Bebida con proteínas sabor stracciatella Yopro botella 300 g,287158,2.39
4415,Postre vegetal de chocolate con cereza Dia Vegedia vaso 150 g,274988,0.89
4416,Postre vegetal de chocolate Dia Vegedia vaso 150 g,274987,0.89
4420,L-Casei natural Dia pack 6 x 100 g,301949,1.25
4421,Yogur con plátano y fresa Hero bolsa 100 g,174311,1.25
4422,Galletas sabor yogur con limón Bicentury caja 160 g,153634,2.59
4423,Alimento infantil lácteo con puré de frutas Dia Fruticampo bolsa 100 g,303365,0.95
4424,"Alimento infantil con puré plátano, fresa y manzana Hero bolsa 100 g",155755,1.25
4425,Postre lacteo fresa Nestlé Yogolino pack 4 x 100 g,83548,2.79
4426,Postre lácteo de plátano Nestlé Yogolino pack 4 x 100 g,50238,2.79
4427,"Puré de arándanos, manzana y plátano funny fruits Nestlé bolsa 110 g",303702,1.29
4428,Postre lácteo infantil con puré de fresa y manzana Nestlé Yogolino bolsa 100 g,208914,1.29
4429,Postre lácteo natural Nestlé Yogolino pack 4 x 100 g,159174,2.79
4430,Alimento infantil con puré de manzana y plátano Nestlé bolsa 90 g,196824,1.25
4432,Tortitas de arroz integral sabor yogur Bicentury bolsa 130 g,155479,2.85
4433,Helado bombón yogur y frutos rojos Dia Temptation 3 x 66 g,299291,2.49
4434,Galletas sándwich yogurt y frutos rojos Gullón Vitalday caja 220 g,205923,2.29
4435,Yogur líquido natural desnatado Actimel pack 12 x 100 g,151109,5.99
4436,Tarrina de helado de yogur y frutos del bosque Carte D'Or 480 g,301404,4.99
4437,Helado de yogur y fresa Dia Temptation 6 x 43 g,256103,2.29
4438,Salsa de yogur Dia Salseo 300 ml,142034,0.9
4439,"Puré de manzana, plátano y yogur 100% ecológica Hero Baby frasco 120 g",252514,1.59
4440,Kéfir Dia Láctea botella 500 g,253810,1.55
4442,Kéfir cremoso suave Dia Láctea vaso 250 g,302721,1.25
4444,Kéfir sabor arándanos Activia 280 g,307385,1.99
4445,Kéfir de cabra ecológico Suerte Ampanera vaso 420 g,275738,2.99
4446,Bífidus natural Activia pack 8 x 120 g,117865,3.99
4447,Skyr natural alto en proteínas Danone pack 4 x 100 g,307396,2.49
4448,Kéfir Activia vaso 345 g,304786,2.09
4449,Alimento infantil con puré multifrutas Nestlé bolsa 90 g,230656,1.25
4450,Salsa kebab Ybarra 250 ml,296094,2.25
4451,Alimento infantil lácteo con puré de fresa y plátano Dia Fruticampo bolsa 100 g,303364,0.95
4452,Alimento infantil lácteo con puré de fresa Dia Fruticampo bolsa 100 g,303363,0.95
4453,Alimento infantil con puré de frutas y galleta Hero bolsa 100 g,162850,1.25
4454,"Alimento infantil con puré naranja, plátano, pera y galleta Hero bolsa 4 x 100 g",285678,4.75
4455,"Alimento infantil con puré de plátano, fresa y manzana Hero bolsa 4 x 100 g",285677,4.75
4456,Cuajada Dia Caprichoso pack 4 x 125 g,27195,1.25
4457,Tiramisú Dia Caprichoso pack 2 x 90 g,252354,1.35
4458,Copa de chocolate y nata Dia Caprichoso pack 4 x 115 g,140493,1.39
4459,Postre gelificado de fresa Dia Caprichoso pack 6 x 100 g,108518,0.99
4460,"Postre gelificado de fresa, limón y multifruta Dia Caprichoso pack 6 x 100 g",139596,0.99
4461,Tarta de queso Dia Caprichoso tarrina 250 g,307308,2.75
4462,Cheesecake Dia Caprichoso pack 2 x 90 g,208224,1.75
4492,Peque galletas junior Nestlé bolsa 180 g,186779,3.49
4463,Mousse de chocolate con pistacho estilo Dubai Dia Caprichoso pack 2 x 70 g,308993,1.99
4464,Copa de vainilla con caramelo y nata Dia Caprichoso pack 4 x 115 g,27955,1.39
4465,Copa de cacao y nata Dia Caprichoso vaso 200 g,294950,0.69
4466,Kéfir con arándanos Dia Láctea pack 4 x 125 g,308602,1.75
4467,Mousse de cacao alta en proteínas Dia Láctea vaso 200 g,292374,1.29
4468,Crema de chocolate con bizcocho Dia Caprichoso pack 4 x 125 g,219104,1.89
4469,Postre gelificado sabor frutas alto en proteínas Dia Láctea pack 4 x 100 g,252356,1.59
4470,Serradura Dia Caprichoso pack 2 x 85 g,208220,1.59
4471,Tocino de cielo Dia Caprichoso pack 2 x 100 g,253343,1.9
4473,Natilla con sorpresa de chocolate y vainilla Dairy for fun tarrina 70 g,220828,1.09
4474,Carrot cake Dia Caprichoso pack 2 x 90 g,298530,1.69
4475,Gelatina de arándanos Royal pack 4 x 90 g,214148,1.79
4476,Alimento infantil con puré multifrutas con galleta Hero bolsa 100 g,218991,0.99
4478,Snack ecológico con fresa y plátano smilitos Smileat bolsa 25 g,305826,1.24
4479,Postre de torrija Dia Caprichoso pack 2 x 85 g,300423,1.99
4480,Cuajada sin azúcar Danone pack 2 x 135 g,12692,1.49
4481,Alimento infantil con puré de frutas mediterráneo Hero bolsa 100 g,186795,1.25
4482,Alimento infantil con puré de plátano y fresa cool fruits Nestlé bolsa 110 g,274109,1.29
4483,"Alimento infantil con puré de pera, plátano y naranja 100% ecológica Hero bolsa 100 g",234340,1.65
4484,Snack ecológico smilitos Smileat bolsa 38 g,255353,2.1
4485,Alimento infantil con puré multifrutas crazy fruits Nestlé bolsa 110 g,291008,1.29
4486,Postre lácteo infantil con puré de 4 frutas happy fruits Nestlé bolsa 110 g,274107,1.29
4487,"Alimento infantil con puré de manzana, fresa, plátano y avena Nestlé bolsa 90 g",310407,1.0
4488,"Alimento infantil con puré de manzana, plátano y avena Nestlé bolsa 90 g",310410,1.0
4489,Snack de maíz y avena ecológico puffs Hero bolsa 25 g,295285,1.59
4490,Peque crackers sabor tomate Nestlé bolsa 100 g,310409,2.59
4491,Snacks de zanahoria y maíz Hero bolsa 40 g,269527,2.65
4493,"Alimento infantil con puré manzana, plátano y zanahoria 100% ecológica Hero bolsa 100 g",234339,1.65
4494,"Alimento infantil con puré de pera, manzana, naranja y plátano Nestlé Naturnes bolsa 90 g",183449,1.25
4495,Alimento lácteo infantil con cacao Nesquik bolsa 110 g,308139,1.59
4496,Natillas Nestlé Yogolino pack 4 x 100 g,256427,2.79
4497,"Alimento infantil con puré de manzana, plátano y fresa Nestlé Naturnes bolsa 90 g",238435,1.25
4498,"Alimento infantil con puré plátano, naranja y galleta Nestlé pack 4 x 90 g",282954,4.59
4499,Alimento infantil con puré de fruta tropical Dia Fruticampo bolsa 100 g,303362,0.9
4500,Alimento infantil con puré de fruta variada Dia Fruticampo bolsa 100 g,303361,0.9
4501,Alimento infantil con puré de fresa y plátano Dia Fruticampo bolsa 100 g,303360,0.9
4502,Alimento infantil con puré de pera y manzana Dia Fruticampo bolsa 90 g,303359,0.85
4503,"Alimento infantil con puré de manzana, pera y plátano Dia Fruticampo bolsa 90 g",303358,0.85
4504,Alimento infantil con puré de manzana y plátano Dia Fruticampo bolsa 90 g,303357,0.85
4505,Queso gouda Dia Selección Mundial 240 g,263231,1.88
4506,Queso de untar natural Dia Láctea 250 g,263518,1.21
4507,Queso semicurado ibérico Quesería del Mundo 175 g,300006,2.99
4509,Queso de oveja con trufa blanca Quesería del Mundo 175 g,299617,4.99
4511,Mozzarella fior di latte 100% natural Dia Selección Mundial 125 g,108698,1.19
4512,Queso edam Dia Selección Mundial 240 g,263217,1.84
4515,Queso tierno cortado Dia El Cencerro 250 g,263673,2.94
4516,Queso fresco de Burgos Dia Láctea 4 x 62.5 g,115669,1.15
4517,Queso rallado Grana Padano D.O.P. Dia Selección Mundial 100 g,182969,1.7
4518,Queso de oveja curado Dia El Cencerro 200 g,304214,2.99
4519,Queso havarti Dia Selección Mundial 160 g,302946,2.15
4520,Queso brie Dia Selección Mundial 200 g,11877,1.65
4523,Queso emmental Dia Selección Mundial 220 g,282301,1.89
4524,Queso havarti light Dia Selección Mundial 160 g,302947,1.6
4525,Queso curado italiano Dia Selección Mundial 200 g,263574,3.25
4526,Quesitos Dia Láctea 375 g,264064,2.1
4528,Queso de untar natural light Dia Láctea 250 g,263519,1.21
4529,Burrata fresca Dia Selección Mundial 150 g,263576,2.3
4530,Queso mini Babybel 120 g,60325,2.89
4534,Queso provolone con orégano Dia Selección Mundial 150 g,182970,1.95
4535,Queso Wensleydale con arándanos Quesería del Mundo 150 g,299585,2.99
4538,Queso cheddar Dia Selección Mundial 160 g,303099,1.89
4540,Queso Arzúa Ulloa D.O.P. Dia El Cencerro 550 g,299089,5.75
4542,Queso fresco 0% M.G. Dia Láctea 4 x 62.5 g,73062,1.15
4543,Queso gouda Dia Selección Mundial 400 g,53195,2.53
4544,Queso feta D.O.P. Dia Selección Mundial 150 g,293265,1.87
4545,Queso cottage Philadelphia 175 g,310747,1.5
4546,Queso gouda madurado Dia Selección Mundial 160 g,309063,2.49
4548,Queso curado cortado Dia El Cencerro 250 g,263675,3.55
4550,Queso gouda sin lactosa Dia Selección Mundial 160 g,302948,1.99
4551,Quesitos light Dia Láctea 250 g,116857,1.6
4552,Queso semicurado cortado García Baquero 200 g,301665,3.99
4553,Queso roquefort Dia Selección Mundial 100 g,222761,1.95
4554,Queso fundido El Caserío 262 g,177870,2.65
4555,Queso gorgonzola D.O.P. Dia Selección Mundial 150 g,303266,1.85
4556,Queso parmesano D.O.P. Dia Selección Mundial 150 g,263575,4.69
4558,Queso ahumado Talkäse Dia Selección Mundial 120 g,302665,1.99
4560,Queso mascarpone Dia Selección Mundial 250 g,48095,2.59
4561,Queso mezcla Descarado Dia El Cencerro 200 g,304082,2.99
4562,Queso camembert Dia Selección Mundial tarrina 250 g,1253,2.08
4563,Queso de oveja curado en aceite Dia El Cencerro 250 g,222784,3.99
4564,Queso maasdam Dia Selección Mundial 160 g,303658,1.69
4565,Queso gouda light Dia Selección Mundial 160 g,303098,1.89
4566,Queso cheddar madurado Dia Selección Mundial 200 g,265533,2.2
4912,Hierbabuena Sun&Vegs bolsa 70 g,275734,1.29
4568,Queso fresco batido rico en proteínas Granja Rinya 400 g,274204,1.89
4569,Queso mini tierno de cabra Dia El Cencerro 520 g,304701,7.79
4570,Queso cottage alto en proteínas Arla 200 g,288046,2.45
4572,Queso Parmesano D.O.P. en escamas Dia Selección Mundial 100 g,207456,2.99
4573,Queso Mahón semicurado Quesería del Mundo 220 g,300005,3.49
4574,Mozzarella di bufala campana D.O.P. Dia Selección Mundial 125 g,263621,1.85
4576,Queso brie con trufa 180 g,305911,3.99
4578,Queso de oveja curado Dia El Cencerro 200 g,292092,3.99
4579,Queso Munster Quesería del Mundo 125 g,299580,2.75
