id_dia,nombre_dia,id_catalogo,nombre_catalogo,score
266129,Aceite de oliva virgen extra Dia La Almazara del Olivar 3 L,1666,Aceite de oliva virgen extra Picual Casa Juncal,70.6
12360,Aceite de oliva virgen extra Dia La Almazara del Olivar 750 ml,1666,Aceite de oliva virgen extra Picual Casa Juncal,70.6
193,Aceite de girasol Koipe 1 L,2736,Atún en aceite de girasol Hacendado,70.8
309958,Aceite de oliva virgen extra squizz Coosur 500 ml,1662,Aceite de oliva virgen extra Hacendado,80.0
188385,Aceite de oliva intenso Carbonell 1 L,2738,Atún en aceite de oliva Hacendado,75.0
282336,Aceite de girasol La masía 5 L,1674,"Aceite de girasol refinado 0,2º Hacendado",70.2
280370,Aceite de oliva virgen extra ecológico Oro de Génave 500 ml,337,Filetes de sardina marinada Hacendado en aceite de oliva virgen extra,70.3
280367,Aceite de oliva virgen extra de ajo La española 250 ml,1662,Aceite de oliva virgen extra Hacendado,74.7
280366,Aceite de oliva virgen extra de trufa La española 250 ml,337,Filetes de sardina marinada Hacendado en aceite de oliva virgen extra,74.1
280363,Aceite de girasol Coosol 5 L,2736,Atún en aceite de girasol Hacendado,73.5
45500,Tomate frito casero Dia Vegecampo 350 g,2114,Tomate frito estilo casero Hacendado,71.2
114545,Tomate frito Orlando 350 g,2113,Tomate frito Hida,75.7
19518,Sal yodada Dia Dia 1 Kg,1678,Sal yodada fina Hacendado,78.8
84060,Vinagre de manzana Aliña tu Dia 1 L,1668,Vinagre de manzana Hacendado,73.5
56586,Mostaza Dia Salseo 330 g,2140,Salsa Miel y Mostaza Hacendado,73.7
115525,Tomate frito Orlando 3 x 212 g,2113,Tomate frito Hida,71.8
299147,Pimienta negra molida Dia Vegecampo 65 g,1986,Pimienta negra molida Hacendado,75.0
220347,Mayonesa Calvé 430 ml,2081,Mayonesa Hacendado,72.7
277454,Ketchup Heinz 700 g,2087,Ketchup Hacendado,70.0
297208,Pimentón dulce Dia Vegecampo 58 g,1964,Pimentón dulce de la Vera Hacendado,75.5
302308,Tomate frito 0% azúcares añadidos Dia Vegecampo 390 g,2116,Tomate frito sin azúcares añadidos Hacendado,74.1
78731,Tomate frito Solís 350 g,2111,Tomate frito Hacendado,80.0
303982,Sal fina Dia 250 g,1676,Sal fina Hacendado,80.0
132345,Salsa boloñesa Gallo 350 g,1718,Lasaña boloñesa Hacendado,74.3
31118,Ketchup Heinz 460 g,2087,Ketchup Hacendado,70.0
129986,Tomate frito Solís 2 x 460 g,2113,Tomate frito Hida,75.7
107992,Orégano Dani 11 g,1939,Orégano Hacendado,73.7
188953,Salsa barbacoa Hellmann's 250 ml,2117,Salsa Barbacoa Hacendado,71.8
106144,Vinagre balsámico de Módena Dia Selección Mundial 500 ml,1673,Vinagre balsámico de Módena Hacendado,71.1
117881,Sazonador para pollo asado Maggi 34 g,2011,Sazonador barbacoa Hacendado para pollo y costillas,71.2
187983,Canela en rama Carmencita 5 g,1994,Canela en rama Hacendado,71.8
81337,Salsa de soja Heinz 150 ml,2131,Salsa de Soja Hacendado,81.2
138138,Salsa basilico Barilla 400 g,2117,Salsa Barbacoa Hacendado,72.2
139419,Sazonador para fajitas Old El Paso 30 g,2008,Sazonador para fajitas Hacendado sabor tex-mex,71.4
308076,Salsa de cebolla caramelizada Ybarra 250 ml,2975,Cebolla caramelizada Hacendado,71.4
306536,Mayonesa de ajo asado Hellmann's 250 ml,2083,Mayonesa Hellmann's,74.5
