score,nombre_dia,nombre_mercadona,id_maestro,id_dia
84.44444444444444,Pajaritas vegetales Dia Al Diante 500 g,Pajaritas vegetales Hacendado,P-2498,5178
84.44444444444444,Café molido natural Toscaf 250 g,Café molido natural Hacendado,P-2765,8082
84.375,Café molido mezcla La estrella 250 g,Café molido mezcla intensa La Estrella,P-2772,8131
84.33734939759037,Bonito del norte en aceite de oliva Zallo 2 x 52 g,Bonito del norte en aceite de oliva Hacendado,P-2747,5571
84.29752066115702,Barritas de barquillo recubierta de chocolate con leche Huesitos bolsa 200 g,Barritas de barquillo Huesitos bañadas de chocolate con leche,P-3184,4117
84.21052631578947,Cerveza Heineken 33 cl,Cerveza Heineken,P-3315,6732
84.21052631578947,Aceite refinado de girasol Diasol 1 L,"Aceite de girasol refinado 0,2º Hacendado",P-1676,7036
84.11214953271028,Filetes de caballa del sur en aceite de oliva Dia Mari Marinera 85 g,Filetes de caballa del sur en aceite de oliva Hacendado,P-2750,5485
84.05797101449275,Atún claro en aceite de girasol Campos 104 g,Atún claro en aceite de girasol Hacendado,P-2739,5564
84.05797101449275,Queso en polvo especial pasta Dia Láctea 150 g,Queso en polvo especial pasta mezcla Hacendado,P-2360,7470
84.0,Bebida energética Dia El diablo 250 ml,Bebida energética Red Bull,P-3304,6380
84.0,Vino blanco Don Simón pack 3 x 187 ml,Vino blanco Don Simón,P-0311,6752
84.0,Pimienta negra molida Dani 45 g,Pimienta negra molida Hacendado,P-1988,7283
83.9506172839506,Bebida láctea omega 3 con nueces Puleva 1 L,Bebida láctea Omega 3 Puleva con leche desnatada,P-1791,3980
83.9506172839506,Aceitunas rellenas de jalapeño Dia Vegecampo 150 g,Aceitunas verdes rellenas de jalapeño Hacendado,P-1429,7715
83.9506172839506,Cereales copos de maíz corn flakes Gran Dia caja 500 g,Cereales copos de maíz Corn Flakes Kellogg's,P-2249,8412
83.87096774193549,Bebida de almendras sin azúcar Alpro 1 L,Bebida de almendras 0% azúcar Hacendado,P-1805,4031
83.87096774193549,Horchata Chufi 1 L,Horchata de chufa Hacendado,P-1810,4324
83.87096774193549,Pan de hamburguesa brioche St pierre 250 g,Pan de hamburguesa Brioche Hacendado,P-0688,5761
83.87096774193549,Tomate frito estilo casero Solís 350 g,Tomate frito estilo casero Hacendado,P-2116,7175
83.87096774193549,Tomate frito estilo casero Solís 3 x 100 g,Tomate frito estilo casero Hacendado,P-2116,7251
83.87096774193549,Aceitunas negras sin hueso Serpis 85 g,Aceitunas negras sin hueso Hacendado,P-1437,7699
83.87096774193549,Aceitunas verdes con hueso Dia Vegecampo 500 g,Aceitunas verdes con hueso Hacendado,P-1431,7712
83.72093023255813,Bebida de avena Alpro 1 L,Bebida de avena Alitey,P-1801,4232
83.72093023255813,Queso fresco de Burgos Dia Láctea 250 g,Queso fresco de cabra Hacendado,P-2054,4532
83.72093023255813,Vinagre de manzana Ybarra 1 L,Vinagre de manzana Hacendado,P-1670,7264
83.6734693877551,Champú y acondicionador anticaspa 2 en 1 Dia Imaqe botella 500 ml,Champú y acondicionador anticaspa Classic 2 en 1 H&S,P-2308,8506
83.63636363636364,Aceitunas sin hueso Serpis 75 g,Aceitunas negras sin hueso Hacendado,P-1437,7726
83.63636363636364,Edulcorante stevia en polvo Dia bote 200 g,Edulcorante stevia en sobres Hacendado,P-3059,8197
83.5820895522388,Aceite de oliva virgen extra Hojiblanca 1 L,Aceite de oliva virgen extra Hacendado,P-1664,7061
83.5820895522388,Aceite de oliva virgen extra Hojiblanca 500 ml,Aceite de oliva virgen extra Hacendado,P-1664,7071
83.5820895522388,Café soluble natural Nescafé 75 g,Café soluble natural Nescafé classic,P-2815,8160
83.51648351648352,Galletas digestive con avena y chocolate Gullón caja 425 g,Galletas Digestive avena chocolate con leche Hacendado,P-2471,7935
83.47826086956522,Cereales con chocolate Kellogg's Choco Krispies caja 330 g,Cereales de arroz inflado Choco Krispies Kellogg's con chocolate,P-2250,7905
83.33333333333334,Leche desnatada Lauki pack 6 x 1 L,Leche desnatada Hacendado,P-1788,3974
83.33333333333334,Leche desnatada sin lactosa Pascual pack 6 x 1 L,Leche desnatada sin lactosa Hacendado,P-1789,4026
83.33333333333334,Yogur natural Danone pack 4 x 120 g,Yogur natural Danone,P-0700,4371
83.33333333333334,Coca-Cola zero azúcar zero cafeína 2 L,Refresco cola Hacendado Zero azúcar Zero cafeína,P-3156,6404
83.33333333333334,Bebida energética Burn 500 ml,Bebida energética Red Bull,P-3304,6435
83.33333333333334,Coca-Cola zero azúcar zero cafeína 500 ml,Refresco cola Hacendado Zero azúcar Zero cafeína,P-3156,6457
83.33333333333334,Zumo de manzana Granini 1 L,Zumo de manzana Hacendado,P-0387,6618
83.33333333333334,Cerveza sin alcohol Mahou pack 6 x 25 cl,Cerveza sin alcohol Mahou,P-3339,6657
83.33333333333334,Arroz integral SOS 1 Kg,Arroz integral largo Hacendado,P-2386,7329
83.33333333333334,Surtido de bombones de chocolate belga Dia Temptation caja 100 g,Surtido bombones de chocolate Belga Hacendado,P-3205,7940
