ï»¿id_producto;nombre;precio;categoria_actual;subcategoria_actual;categoria_nueva;subcategoria_nueva
ME-4307;Desatascador Turbo Bosque Verde en gel;17;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0634;Desmaquillador de ojos y labios bifÃ¡sico Waterproof Facial Clean;20;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-4390;Difusor insecticida antimosquitos Bosque Verde elÃ©ctrico;31;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-4407;Difusor multifragancia elÃ©ctrico Bosque Verde;32;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0631;Discos desmaquillantes Deliplus ovalados algodÃ³n 100%;15;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0628;Discos desmaquillantes Deliplus redondos algodÃ³n 100%;105;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-4195;Disuelve manchas Bosque Verde;19;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3466;Doble caldo sabor clÃ¡sico carne Knorr en pastillas;175;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0175;Dorada abierta a la espalda;64;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-0174;Dorada limpia;60;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3362;Dulce de membrillo Hacendado 0% azÃºcares aÃ±adidos;24;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-3365;Dulce de membrillo taco Hacendado;21;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2064;Eau de parfum hombre Borealia Shine;110;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2077;Eau de parfum hombre Como tÃº Audaz;80;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2069;Eau de parfum hombre Como TÃº Enciende;70;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2073;Eau de parfum hombre Como tÃº Eternal;80;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2062;Eau de parfum hombre Como TÃº Extratime A Day;80;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2070;Eau de parfum hombre Como TÃº Extratime Likes;80;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2053;Eau de parfum hombre Como TÃº Fuerza;70;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2075;Eau de parfum hombre Como tÃº Labuan;80;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2068;Eau de parfum hombre Como TÃº Rebel;80;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2054;Eau de parfum hombre Como TÃº Viento;70;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2057;Eau de parfum hombre Ãl;100;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2061;Eau de parfum hombre My Soul;95;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2065;Eau de parfum hombre My Soul Enchanted;95;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2066;Eau de parfum hombre My Soul Glacier;120;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2076;Eau de parfum hombre My Soul Quartz;150;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2067;Eau de parfum hombre My Soul SoirÃ©e;95;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2063;Eau de parfum hombre My Soul Supreme;110;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2072;Eau de parfum hombre My Soul Vert;95;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2004;Eau de parfum mujer Blue Shine;110;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2015;Eau de parfum mujer Boem Shine;95;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1999;Eau de parfum mujer Como TÃº Amor;70;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2020;Eau de parfum mujer Como TÃº AtracciÃ³n;80;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2026;Eau de parfum mujer Como tÃº Cerise;80;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2019;Eau de parfum mujer Como TÃº Enciende;70;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2005;Eau de parfum mujer Como TÃº Extratime A Day;80;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2018;Eau de parfum mujer Como TÃº Extratime Likes;80;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2017;Eau de parfum mujer Como TÃº Gold;80;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2038;Eau de parfum mujer Como TÃº Sakai;80;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2029;Eau de parfum mujer Como TÃº Santal;80;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2016;Eau de parfum mujer Como TÃº SinfonÃ­a;80;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2021;Eau de parfum mujer Como TÃº Soplo Intense;80;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2024;Eau de parfum mujer Como TÃº The Rose;80;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2008;Eau de parfum mujer Cosmic Shine;95;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2010;Eau de parfum mujer Ãclant Shine;120;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1997;Eau de parfum mujer ElecciÃ³n;90;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2022;Eau de parfum mujer Ella;100;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2039;Eau de parfum mujer My Soul Celestial Night;110;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2037;Eau de parfum mujer My Soul Crystal;110;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2009;Eau de parfum mujer My Soul Enchanted;120;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2025;Eau de parfum mujer My Soul Rouge;95;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2006;Eau de parfum mujer My Soul Supreme;110;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1996;Eau de parfum mujer Rose Nude;90;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2027;Eau de parfum mujer Shine Special;120;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2014;Eau de parfum mujer SoirÃ©e My Soul;120;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2007;Eau de parfum mujer Verissime Bright;110;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2051;Eau de toilette hombre 9.60 Sport water;39;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2052;Eau de toilette hombre 9.60 Sport water acciÃ³n;39;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2074;Eau de toilette hombre CapÃ­tulo Amaderado;65;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2060;Eau de toilette hombre CapÃ­tulo Marino;65;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2055;Eau de toilette hombre Gesto;55;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2056;Eau de toilette hombre Ikiru;80;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2059;Eau de toilette hombre Misty Wood Bosque mÃ­stico;38;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2058;Eau de toilette hombre Misty Wood Esencia vital;38;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2088;Eau de toilette infantil Disney Minnie Mouse;40;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2089;Eau de toilette infantil Marvel Spiderman;40;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-2023;Eau de toilette mujer 9.60 Bloom Sport water;39;Bazar y Varios;Otros bazar;Revisar;Revisar
ME-1998;Eau de toilette mujer 9.60 Sport water;39;Bazar y Varios;Otros bazar;Revisar;Revisar
