supermercado,nombre_comercial,precio,marca,categoria,subcategoria,precio_por_unidad,url,imagen,referencia_externa
DIA,Chapelas extracao Dulcesol bolsa 126 g,1.0,Dulcesol,"Galletas, bollos y cereales",Bollería,7.94,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/303755,https://www.dia.es/product_images/303755/303755_ISO_0_ES.jpg,303755
DIA,Bizcocho de limón El molino de Dia bolsa 350 g,2.49,El molino de Dia,"Galletas, bollos y cereales",Bollería,7.11,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/179095,https://www.dia.es/product_images/179095/179095_ISO_0_ES.jpg,179095
DIA,Berlinas glacé Donuts bandeja 4 unidades 208 g,2.95,Donuts,"Galletas, bollos y cereales",Bollería,14.18,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/38177,https://www.dia.es/product_images/38177/38177_ISO_0_ES.jpg,38177
DIA,Bizcocho de naranja con chocolate El molino de Dia bolsa 350 g,2.49,El molino de Dia,"Galletas, bollos y cereales",Bollería,7.11,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/275656,https://www.dia.es/product_images/275656/275656_ISO_0_ES.jpg,275656
DIA,Pastas artesanas de almendras Blanco bolsa 400 g,2.45,Blanco,"Galletas, bollos y cereales",Galletas,6.13,https://www.dia.es/galletas-bollos-y-cereales/galletas/p/215450,https://www.dia.es/product_images/215450/215450_ISO_0_ES.jpg,215450
DIA,Brownies de chocolate El molino de Dia bolsa 200 g,1.89,El molino de Dia,"Galletas, bollos y cereales",Bollería,9.45,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/287740,https://www.dia.es/product_images/287740/287740_ISO_0_ES.jpg,287740
DIA,Croissants rellenos de cacao y avellanas Dulca bolsa 320 g,2.19,Dulca,"Galletas, bollos y cereales",Bollería,6.84,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/288730,https://www.dia.es/product_images/288730/288730_ISO_0_ES.jpg,288730
DIA,Magdalenas rellenas con crema de cacao El molino de Dia bolsa 336 g,1.69,El molino de Dia,"Galletas, bollos y cereales",Bollería,5.03,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/86108,https://www.dia.es/product_images/86108/86108_ISO_0_ES.jpg,86108
DIA,Mini croissants con cacao El molino de Dia bolsa 150 g,1.39,El molino de Dia,"Galletas, bollos y cereales",Bollería,9.27,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/222838,https://www.dia.es/product_images/222838/222838_ISO_0_ES.jpg,222838
DIA,Crêpes rellenos de cacao Oh la france bolsa 192 g,1.85,Oh la france,"Galletas, bollos y cereales",Bollería,9.64,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/288720,https://www.dia.es/product_images/288720/288720_ISO_0_ES.jpg,288720
DIA,Bizcocho ositos lulú rellenos de chocolate Fontaneda caja 150 g,2.3,Fontaneda,"Galletas, bollos y cereales",Bollería,15.33,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/107385,https://www.dia.es/product_images/107385/107385_ISO_0_ES.jpg,107385
DIA,Chapelas pinky Dulcesol bolsa 126 g,1.0,Dulcesol,"Galletas, bollos y cereales",Bollería,7.94,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/271507,https://www.dia.es/product_images/271507/271507_ISO_0_ES.jpg,271507
DIA,Magdalenas concha Arenas bolsa 300 g,1.69,Arenas,"Galletas, bollos y cereales",Bollería,5.63,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/119528,https://www.dia.es/product_images/119528/119528_ISO_0_ES.jpg,119528
DIA,Tarta de manzana Dulcesol bolsa 135 g,1.0,Dulcesol,"Galletas, bollos y cereales",Bollería,7.41,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/271494,https://www.dia.es/product_images/271494/271494_ISO_0_ES.jpg,271494
DIA,Magdalenas cuadradas El molino de Dia bolsa 350 g,1.59,El molino de Dia,"Galletas, bollos y cereales",Bollería,4.54,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/105303,https://www.dia.es/product_images/105303/105303_ISO_0_ES.jpg,105303
DIA,Caña rellena de crema bañada en cacao Dulcesol bolsa 153 g,1.0,Dulcesol,"Galletas, bollos y cereales",Bollería,6.54,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/271501,https://www.dia.es/product_images/271501/271501_ISO_0_ES.jpg,271501
DIA,Mini brownies de chocolate Dulcesol bolsa 115 g,1.0,Dulcesol,"Galletas, bollos y cereales",Bollería,8.7,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/293030,https://www.dia.es/product_images/293030/293030_ISO_0_ES.jpg,293030
DIA,Magdalenas sin gluten El molino de Dia bolsa 160 g,1.79,El molino de Dia,"Galletas, bollos y cereales",Bollería,11.19,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/303498,https://www.dia.es/product_images/303498/303498_ISO_0_ES.jpg,303498
DIA,Conchas de chocolate Codan bolsa 330 g,2.59,Codan,"Galletas, bollos y cereales",Bollería,7.85,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/89469,https://www.dia.es/product_images/89469/89469_ISO_0_ES.jpg,89469
DIA,Mini rosquillas al cacao El molino de Dia bandeja 155 g,1.59,El molino de Dia,"Galletas, bollos y cereales",Bollería,10.26,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/182645,https://www.dia.es/product_images/182645/182645_ISO_0_ES.jpg,182645
DIA,Gofre recubierto de cacao El molino de Dia bolsa 360 g,2.55,El molino de Dia,"Galletas, bollos y cereales",Bollería,7.08,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/141611,https://www.dia.es/product_images/141611/141611_ISO_0_ES.jpg,141611
DIA,vulcanitos de crema Dulcesol bolsa 143 g,1.0,Dulcesol,"Galletas, bollos y cereales",Bollería,6.99,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/294350,https://www.dia.es/product_images/294350/294350_ISO_0_ES.jpg,294350
DIA,Brownies Jr Brownie bolsa 200 g,2.29,Jr Brownie,"Galletas, bollos y cereales",Bollería,11.45,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/299588,https://www.dia.es/product_images/299588/299588_ISO_0_ES.jpg,299588
DIA,Delicias de coco El cateto blister 192 g,1.95,El cateto,"Galletas, bollos y cereales",Galletas,10.16,https://www.dia.es/galletas-bollos-y-cereales/galletas/p/294989,https://www.dia.es/product_images/294989/294989_ISO_0_ES.jpg,294989
DIA,Rondo de chocolate Mandul bolsa 400 g,3.25,Mandul,"Galletas, bollos y cereales",Bollería,8.13,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/297957,https://www.dia.es/product_images/297957/297957_ISO_0_ES.jpg,297957
DIA,Lazos hojaldre de azúcar Virgen del Brezo bolsa 180 g,1.55,Virgen del Brezo,"Galletas, bollos y cereales",Bollería,8.61,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/287873,https://www.dia.es/product_images/287873/287873_ISO_0_ES.jpg,287873
DIA,Mini palmeritas al cacao Virgen del Brezo bolsa 175 g,2.09,Virgen del Brezo,"Galletas, bollos y cereales",Bollería,11.94,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/282311,https://www.dia.es/product_images/282311/282311_ISO_0_ES.jpg,282311
DIA,Bizcocho relleno con chocolate cake & choc Milka caja 175 g,2.99,Milka,"Galletas, bollos y cereales",Bollería,17.09,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/145706,https://www.dia.es/product_images/145706/145706_ISO_0_ES.jpg,145706
DIA,Mini magdalenas rellena de chocolate El molino de Dia bolsa 180 g,1.15,El molino de Dia,"Galletas, bollos y cereales",Bollería,6.39,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/287738,https://www.dia.es/product_images/287738/287738_ISO_0_ES.jpg,287738
DIA,Mini palmeritas de hojaldre Virgen del Brezo bolsa 140 g,1.85,Virgen del Brezo,"Galletas, bollos y cereales",Bollería,13.21,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/282310,https://www.dia.es/product_images/282310/282310_ISO_0_ES.jpg,282310
DIA,Tortitas Brioche Pasquier bolsa 280 g,2.99,Brioche Pasquier,"Galletas, bollos y cereales",Bollería,10.68,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/279788,https://www.dia.es/product_images/279788/279788_ISO_0_ES.jpg,279788
DIA,Rosquillas rayadas Donettes bandeja 176 g,2.09,Donettes,"Galletas, bollos y cereales",Bollería,11.88,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/41173,https://www.dia.es/product_images/41173/41173_ISO_0_ES.jpg,41173
DIA,Magdalenas concha mármol Arenas bolsa 165 g,1.29,Arenas,"Galletas, bollos y cereales",Bollería,7.82,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/295037,https://www.dia.es/product_images/295037/295037_ISO_0_ES.jpg,295037
DIA,Rollos de naranja El molino de Dia 385 g,2.99,El molino de Dia,"Galletas, bollos y cereales",Bollería,7.77,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/309682,https://www.dia.es/product_images/309682/309682_ISO_0_ES.jpg,309682
DIA,Sobaos Vega pas bolsa 450 g,3.15,Vega pas,"Galletas, bollos y cereales",Bollería,7,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/187450,https://www.dia.es/product_images/187450/187450_ISO_0_ES.jpg,187450
DIA,Pastelitos rellenos y recubiertos de chocolate choc & choc Milka 150 g,2.99,Milka,"Galletas, bollos y cereales",Bollería,19.93,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/270807,https://www.dia.es/product_images/270807/270807_ISO_0_ES.jpg,270807
DIA,Magdalenas 0% azúcares La bella easo bolsa 232 g,2.99,La bella easo,"Galletas, bollos y cereales",Bollería,12.89,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/275602,https://www.dia.es/product_images/275602/275602_ISO_0_ES.jpg,275602
DIA,Bizcochitos rellenos Cuétara Tostarica caja 125 g,2.99,Cuétara,"Galletas, bollos y cereales",Bollería,23.92,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/144325,https://www.dia.es/product_images/144325/144325_ISO_0_ES.jpg,144325
DIA,Rosquillas Monjas bolsa 275 g,1.99,Monjas,"Galletas, bollos y cereales",Bollería,7.24,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/187457,https://www.dia.es/product_images/187457/187457_ISO_0_ES.jpg,187457
