id_producto;nombre;precio;categoria_actual;subcategoria_actual;categoria_nueva;subcategoria_nueva
ME-3298;Delineador de ojos Deliplus;375;Bazar y Varios;Otros bazar;;
ME-3300;Delineador de ojos Deliplus negro;375;Bazar y Varios;Otros bazar;;
ME-0844;Dentífrico 3 action Deliplus;11;Bazar y Varios;Otros bazar;;
ME-0845;Dentífrico Anticaries Deliplus;105;Bazar y Varios;Otros bazar;;
ME-0835;Dentífrico Bicarbonato blanqueador Deliplus;11;Bazar y Varios;Otros bazar;;
ME-0833;Dentífrico Blanqueador Bicarbonato Signal;185;Bazar y Varios;Otros bazar;;
ME-0843;Dentífrico Dental Pearl Deliplus blanqueador;195;Bazar y Varios;Otros bazar;;
ME-0842;Dentífrico Encías Protect Deliplus;17;Bazar y Varios;Otros bazar;;
ME-0840;Dentífrico Fresh Gel Deliplus menta extra refrescante;11;Bazar y Varios;Otros bazar;;
ME-0852;Dentífrico gel Blanqueador Xtrem Deliplus;17;Bazar y Varios;Otros bazar;;
ME-0841;Dentífrico Herbal Deliplus;11;Bazar y Varios;Otros bazar;;
ME-0846;Dentífrico infantil + 2 años Deliplus;10;Bazar y Varios;Otros bazar;;
ME-0848;Dentífrico infantil +6 años Deliplus menta suave;10;Bazar y Varios;Otros bazar;;
ME-0849;Dentífrico infantil +6 años Deliplus sabor gominola;10;Bazar y Varios;Otros bazar;;
ME-0831;Dentífrico Pro-Expert Oral-B sabor menta especiada;285;Bazar y Varios;Otros bazar;;
ME-0834;Dentífrico Protección Caries Colgate;195;Bazar y Varios;Otros bazar;;
ME-0836;Dentífrico Repair & Protect Sensodyne;495;Bazar y Varios;Otros bazar;;
ME-0850;Dentífrico reparación activa de encías Parodontax menta fresca;495;Bazar y Varios;Otros bazar;;
ME-0847;Dentífrico Sensitive Deliplus con hidroxiapatita;15;Bazar y Varios;Otros bazar;;
ME-0853;Dentífrico Total Expert Deliplus con paraprobiótico;19;Bazar y Varios;Otros bazar;;
ME-4306;Desatascador de Tuberías Bosque Verde en gel;185;Bazar y Varios;Otros bazar;;
ME-4307;Desatascador Turbo Bosque Verde en gel;17;Bazar y Varios;Otros bazar;;
ME-0634;Desmaquillador de ojos y labios bifásico Waterproof Facial Clean;20;Bazar y Varios;Otros bazar;;
ME-4390;Difusor insecticida antimosquitos Bosque Verde eléctrico;31;Bazar y Varios;Otros bazar;;
ME-4407;Difusor multifragancia eléctrico Bosque Verde;32;Bazar y Varios;Otros bazar;;
ME-0631;Discos desmaquillantes Deliplus ovalados algodón 100%;15;Bazar y Varios;Otros bazar;;
ME-0628;Discos desmaquillantes Deliplus redondos algodón 100%;105;Bazar y Varios;Otros bazar;;
ME-4195;Disuelve manchas Bosque Verde;19;Bazar y Varios;Otros bazar;;
ME-3466;Doble caldo sabor clásico carne Knorr en pastillas;175;Bazar y Varios;Otros bazar;;
ME-0175;Dorada abierta a la espalda;64;Bazar y Varios;Otros bazar;;
ME-0174;Dorada limpia;60;Bazar y Varios;Otros bazar;;
ME-3362;Dulce de membrillo Hacendado 0% azúcares añadidos;24;Bazar y Varios;Otros bazar;;
ME-3365;Dulce de membrillo taco Hacendado;21;Bazar y Varios;Otros bazar;;
ME-2064;Eau de parfum hombre Borealia Shine;110;Bazar y Varios;Otros bazar;;
ME-2077;Eau de parfum hombre Como tú Audaz;80;Bazar y Varios;Otros bazar;;
ME-2069;Eau de parfum hombre Como Tú Enciende;70;Bazar y Varios;Otros bazar;;
ME-2073;Eau de parfum hombre Como tú Eternal;80;Bazar y Varios;Otros bazar;;
ME-2062;Eau de parfum hombre Como Tú Extratime A Day;80;Bazar y Varios;Otros bazar;;
