id,nombre_comercial,marca
303681,Perlitas de chocolate blanco Dr. Oetker bolsa 100 g,Dr. Oetker
301465,Crema de avellanas y cacao con galleta Dia Temptation frasco 350 g,Dia Temptation
148474,Chocolate blanco para postres Nestlé 170 g,Nestlé
310462,Cereales con chocolate alto en proteínas Nestlé Chocapic caja 340 g,Nestlé
233828,Barritas de galleta recubiertas de chocolate blanco Kit Kat bolsa 3 x 41.5 g,Kit Kat
32812,Galletas rellenas de crema de chocolate Galleteca de Dia paquete 500 g,Galleteca de Dia
18992,Galleta rellena de crema de chocolate Principe paquete 300 g,Principe
18373,Barritas de chocolate blanco y avellanas Kinder Bueno bolsa 39 g,Kinder
10445,Crema al cacao Dia Temptation bote 400 g,Dia Temptation
144684,Barritas de chocolate blanco y avellanas Kinder bolsa 3 x 39 g,Kinder
43106,Cereales integrales con chocolate Nestlé Chocapic caja 375 g,Nestlé
74306,Cereales de pétalos de trigo y chocolate Gran Dia caja 500 g,Gran Dia
161790,Sirope de chocolate Delimagic de Dia botella 295 g,Dia Delimagic
59046,Mini barritas de chocolate y cacahuete Dia Temptation bolsa 250 g,Dia Temptation
18237,Barritas de chocolate con caramelo y cacahuetes Snickers bolsa 150 g,Snickers
33077,"Barritas de chocolate, turrón y caramelo Dia Temptation bolsa 200 g",Dia Temptation
297962,Chocolate blanco con relleno de galleta filipinos Nestlé Extrafino 84 g,Nestlé
179570,Galletas rellenas de chocolate maxi choc Principe paquete 250 g,Principe
189842,Galleta rellena de crema de chocolate Principe paquete 3 x 300 g,Principe
275985,Roscos de galleta con chocolate blanco chocobom Gullón bolsa 128 g,Gullón
144546,Cereales integrales con chocolate y caramelo Nestlé Lion caja 400 g,Nestlé
55685,Cereales integrales con chocolate nesquik Nesquik caja 375 g,Nesquik
263289,Obleas con doble relleno Kinder caja 128 g,Kinder
32791,Paraguas de chocolate Lacasa bolsa 50 g,Lacasa
305823,Crema de cacao crunchy Nocilla bote 180 g,Nocilla
282763,Crema de cacao noir Nocilla bote 180 g,Nocilla
283307,Barrita de chocolate con avellanas sin gluten ondulé Dr. Schar bolsa 30 g,Dr. Schar
87245,Cereales integrales con chocolate negro Nestlé Fitness caja 375 g,Nestlé
194452,Crema de cacahuete crujiente Capitán Mani bote 340 g,Capitán Mani
293025,Barritas de chocolate y galleta Nestlé Jungly bolsa 102 g,Nestlé
306608,Cereales de avena al cacao oaties Kellogg's caja 360 g,Kellogg's
306556,Barrita de galleta y chocolate blanco Nestlé Milkybar bolsa 1 unidad,Nestlé
306554,Barrita de chocolate y galleta Nestlé bolsa 1 unidad,Nestlé
13068,Roscos de galleta con chocolate blanco chocoaros Galleteca de Dia bolsa 128 g,Galleteca de Dia
1577,Roscos de galleta con chocolate negro chocoaros Galleteca de Dia bolsa 128 g,Galleteca de Dia
25311,Roscos de galleta con chocolate blanco Artiach Filipinos bolsa 93 g + 35 g,Artiach
40413,Galletas cubiertas de chocolate negro Galleteca de Dia caja 150 g,Galleteca de Dia
198551,Mini galletas chocolateadas con vitaminas Simpsons Arluy caja 135 g,Arluy
305934,Galletas María con chocolate sin gluten Galleteca de Dia paquete 200 g,Galleteca de Dia
21213,Palitos de galleta recubiertos de chocolate Mikado caja 75 g,Mikado
177632,Roscos de galleta con chocolate negro Artiach Filipinos bolsa 93 g + 35 g,Artiach
256556,Barrita proteína sabor chocolate blanco con stracciatella Just loading bolsa 35 g,Just loading
