id_producto;nombre;precio;categoria_actual;subcategoria_actual;categoria_nueva;subcategoria_nueva
ME-1705;Almendra palitos Hacendado;185;Desayuno y Snack;Frutos secos embasados;;
ME-1384;Almendra tostada Hacendado 0% sal añadida con piel;295;Desayuno y Snack;Frutos secos embasados;;
ME-1379;Almendra tostada y salada Hacendado con piel;240;Desayuno y Snack;Frutos secos embasados;;
ME-1377;Anacardo frito salado Hacendado;280;Desayuno y Snack;Frutos secos embasados;;
ME-1375;Anacardo natural Hacendado;280;Desayuno y Snack;Frutos secos embasados;;
ME-1087;Aperitivo de patata sabor barbacoa Hacendado;175;Desayuno y Snack;Snack salados;;
ME-1079;Aperitivo de patata sabor crema agria y cebolla Pringles;195;Desayuno y Snack;Snack salados;;
ME-1104;Aros de maíz Hacendado;85;Desayuno y Snack;Snack salados;;
ME-1378;Avellana tostada Hacendado 0% sal añadida;430;Desayuno y Snack;Frutos secos embasados;;
ME-1409;Cacahuete +Proteínas en polvo desgrasado Hacendado 14 g proteínas 70% reducido en grasa;275;Desayuno y Snack;Frutos secos embasados;;
ME-1391;Cacahuete frito con miel Hacendado;165;Desayuno y Snack;Frutos secos embasados;;
ME-1373;Cacahuete frito con sal Hacendado pelado;100;Desayuno y Snack;Frutos secos embasados;;
ME-1380;Cacahuete frito y salado Hacendado con piel;130;Desayuno y Snack;Frutos secos embasados;;
ME-1392;Cacahuete tostado con sal Hacendado;165;Desayuno y Snack;Frutos secos embasados;;
