id,id_api,nombre_comercial,precio,precio_unidad,marca,url,imagen,disponible
DI-3638,306230,Huevos grandes L de gallinas criadas en suelo Dia 12 unidades,3.2,3.20€/docena,Dia,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/306230,https://www.dia.es/product_images/306230/306230_ISO_0_ES.jpg,True
DI-2208,274009,Huevos medianos M Dia 24 unidades,5.75,2.88€/docena,Dia,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/274009,https://www.dia.es/product_images/274009/274009_ISO_0_ES.jpg,True
DI-2209,274010,Huevos medianos M de gallinas criadas en suelo Dia 12 unidades,3.0,3.00€/docena,Dia,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/274010,https://www.dia.es/product_images/274010/274010_ISO_0_ES.jpg,True
DI-2246,274540,Huevos camperos medianos/grandes M/L Dia 10 unidades,3.19,3.83€/docena,Dia,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/274540,https://www.dia.es/product_images/274540/274540_ISO_0_ES.jpg,True
DI-3585,305802,Huevos extragrandes L/XL de gallinas criadas en suelo Dia 6 unidades,2.2,4.40€/docena,Dia,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/305802,https://www.dia.es/product_images/305802/305802_ISO_0_ES.jpg,True
DI-3830,307884,Huevos frescos categoría A clase L Dia 18 unidades,4.69,3.13€/docena,Dia,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/307884,https://www.dia.es/product_images/307884/307884_ISO_0_ES.jpg,True
DI-2247,274541,Huevos ecológicos grandes/medianos M/L Dia 6 unidades,2.95,5.90€/docena,Dia,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/274541,https://www.dia.es/product_images/274541/274541_ISO_0_ES.jpg,True
DI-2210,274011,Huevos medianos/grandes M/L de gallinas criadas en el suelo Dia 12 unidades,3.49,3.49€/docena,Dia,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/274011,https://www.dia.es/product_images/274011/274011_ISO_0_ES.jpg,True
DI-1579,241893,Huevos camperos Pazo de Vilane caja 12 unidades,4.49,4.49€/docena,Pazo de Vilane,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/241893,https://www.dia.es/product_images/241893/241893_ISO_0_ES.jpg,True
DI-0437,135425,Huevos medianos/grandes M/L maíz Grupo de lucas caja 12 unidades,3.69,3.69€/docena,Grupo de lucas,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/135425,https://www.dia.es/product_images/135425/135425_ISO_0_ES.jpg,True
DI-1497,230337,Claras de huevo pasteurizadas Ovonatur botella 500 ml,1.95,3.90€/L,Ovonatur,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/230337,https://www.dia.es/product_images/230337/230337_ISO_0_ES.jpg,True
DI-3714,306664,Pasta fresca media luna rellena de queso Dia Selección Mundial 250 g,1.89,7.56€/kg,Dia Selección Mundial,https://www.dia.es/arroz-pastas-y-legumbres/pastas-rellenas/p/306664,https://www.dia.es/product_images/306664/306664_ISO_0_ES.jpg,True
DI-3802,307451,Filetes de merluza rebozados Dia Mari Marinera 500 g,4.29,8.58€/kg,Dia Mari Marinera,https://www.dia.es/congelados/croquetas-y-rebozados/p/307451,https://www.dia.es/product_images/307451/307451_ISO_0_ES.jpg,True
DI-3179,301169,Tagliata al huevo Dia Al Diante 500 g,1.4,2.80€/kg,Dia Al Diante,https://www.dia.es/arroz-pastas-y-legumbres/macarrones-espaguetis-y-pastas-secas/p/301169,https://www.dia.es/product_images/301169/301169_ISO_0_ES.jpg,True
DI-4418,53766,Mantequilla Central Lechera Asturiana 250 g,3.69,14.76€/kg,Central Lechera Asturiana,https://www.dia.es/huevos-leche-y-mantequilla/mantequilla-y-margarina/p/53766,https://www.dia.es/product_images/53766/53766_ISO_0_ES.jpg,True
DI-2722,291612,Mini huevos de chocolate rellenos Dia Temptation bolsa 150 g,1.99,13.27€/kg,Dia Temptation,https://www.dia.es/azucar-chocolates-y-caramelos/chocolates-y-bombones/p/291612,https://www.dia.es/product_images/291612/291612_ISO_0_ES.jpg,True
DI-5037,33080,Huevo de chocolate con sorpresa Dia Temptation caja 60 g,1.89,31.50€/kg,Dia Temptation,https://www.dia.es/azucar-chocolates-y-caramelos/chocolates-y-bombones/p/33080,https://www.dia.es/product_images/33080/33080_ISO_0_ES.jpg,True
DI-3066,299100,Tortilla de patata estilo casero 41% huevo Dia Al Punto 600 g,3.29,5.48€/kg,Dia Al Punto,https://www.dia.es/platos-preparados-y-pizzas/tortillas-y-empanadas/p/299100,https://www.dia.es/product_images/299100/299100_ISO_0_ES.jpg,True
DI-3588,305813,Huevos de chocolate rellenos de crema de avellana Dia Temptation 180 g,2.24,12.46€/kg,Dia Temptation,https://www.dia.es/azucar-chocolates-y-caramelos/chocolates-y-bombones/p/305813,https://www.dia.es/product_images/305813/305813_ISO_0_ES.jpg,True
DI-4451,55576,Margarina vitaminada con sal Diasol 500 g,1.5,3.00€/kg,Diasol,https://www.dia.es/huevos-leche-y-mantequilla/mantequilla-y-margarina/p/55576,https://www.dia.es/product_images/55576/55576_ISO_0_ES.jpg,True
