id_api,nombre_comercial,precio,precio_unidad,marca,url,categoria_ahorramas
,Panecillo tostado Alipende 160g con ajo,1.2,"(7,50€/KILO)",,https://www.ahorramas.com/panecillo-tostado-alipende-160g-con-ajo-79151.html,alimentacion
,Empanada de carne 500g,3.0,"(6,19€/KILO)|(7,53€/KILO)",,https://www.ahorramas.com/empanada-de-carne-500g-13616.html,alimentacion
,Empanada de bacon y chorizo 560g,3.0,"(6,19€/KILO)|(7,53€/KILO)",,https://www.ahorramas.com/empanada-de-bacon-y-chorizo-560g-45347.html,alimentacion
,Pan de molde Alipende 820g especial tostada sin tapas,1.45,"(1,77€/KILO)|(2,07€/KILO)",,https://www.ahorramas.com/pan-de-molde-alipende-820g-especial-tostada-sin-tapas-46784.html,alimentacion
,Mermelada diet la vieja fabrica 280g frambuesa,2.49,"(8,89€/KILO)|(11,61€/KILO)",,https://www.ahorramas.com/mermelada-diet-la-vieja-fabrica-280g-frambuesa-80538.html,alimentacion
,Canela Alipende 14g en rama,1.05,"(75,00€/KILO)",,https://www.ahorramas.com/canela-alipende-14g-en-rama-81455.html,alimentacion
,Pan rallado Alipende 500g estilo casero,1.0,"(2,00€/KILO)",,https://www.ahorramas.com/pan-rallado-alipende-500g-estilo-casero-56106.html,alimentacion
,Caldo de verduras en pastillas Alipende 12 unidades,0.9,"(7,50€/KILO)",,https://www.ahorramas.com/caldo-de-verduras-en-pastillas-alipende-12-unidades-85269.html,alimentacion
,Patatas fritas Ruffles Original 150g,1.89,"(12,60€/KILO)",,https://www.ahorramas.com/patatas-fritas-ruffles-original-150g-77142.html,alimentacion
,Patatas fritas lays 150g vinagreta,2.05,"(13,67€/KILO)",,https://www.ahorramas.com/patatas-fritas-lays-150g-vinagreta-78952.html,alimentacion
,Chocolate con leche Alipende 150g,1.35,"(9,00€/KILO)",,https://www.ahorramas.com/chocolate-con-leche-alipende-150g-85405.html,alimentacion
,Aceitunas rellenas Alipende 150g suave reducido en sal,1.4,"(9,33€/KG.PESO ESC)",,https://www.ahorramas.com/aceitunas-rellenas-alipende-150g-suave-reducido-en-sal-71234.html,alimentacion
